name,address,cuisine,style,price,source,notes,lat,lng,visited,my_rating,google_rating
Semma,"60 Greenwich Avenue, New York, NY",Indian,casual,$$$,NYT 100 Best 2025,#1 - Best dosa in the city,40.736031,-74.000505,,,
Atomix,"104 East 30th Street, New York, NY",Korean Tasting,formal,$$$$,NYT 100 Best 2025,#2 - Tasting menu of the future,40.744222,-73.982846,,,
Le Bernardin,"155 West 51st Street, New York, NY",French Seafood Tasting,formal,$$$$,NYT 100 Best 2025,#3 - Four stars 30 years running,40.761395,-73.981691,,,
Kabawa,"8 Extra Place, New York, NY",Caribbean Tasting Menu,casual,$$$,NYT 100 Best 2025,#4 - New - Exuberant Caribbean cuisine,40.724948,-73.991338,,,
Ha's Snack Bar,"297 Broome Street, New York, NY",French Vietnamese Wine Bar,casual,$$$,NYT 100 Best 2025,#5 - Game-changing talents,40.718609,-73.992104,,,
King,"18 King Street, New York, NY",Mediterranean,casual,$$$,NYT 100 Best 2025,#6 - Southern French and Italian,40.727581,-74.003422,,,
Penny,"90 East 10th Street, New York, NY",Seafood French,casual,$$$,NYT 100 Best 2025,#7 - Sleek marble bar seafood counter,40.730806,-73.989727,,,
Sushi Sho,"3 East 41st Street, New York, NY",Sushi Omakase,formal,$$$$,NYT 100 Best 2025,#8 - Transformative sushi,40.752273,-73.979858,,,
Szechuan Mountain House,"23 St. Marks Place, New York, NY",Chinese,casual,$$$,NYT 100 Best 2025,#9 - Best Sichuan peppercorn dishes,40.729513,-73.988205,,,
Tatiana by Kwame Onwuachi,"10 Lincoln Center Plaza, New York, NY",American Caribbean Creole,formal,$$$$,NYT 100 Best 2025,#10 - Afro-Caribbean at Lincoln Center,40.772550,-73.983487,,,
188 Bakery Cuchifritos,"158 East 188th Street, Bronx, NY",Puerto Rican Dominican,fast,$,NYT 100 Best 2025,Bronx pork palace - chicharrones,40.861565,-73.898427,,,
A&A Bake and Doubles,"1337 Fulton Street, Brooklyn, NY",Trinidadian and Tobagonian,fast,$,NYT 100 Best 2025,Best doubles in the city,40.680524,-73.947944,,,
AbuQir Seafood,"24-19 Steinway Street, Astoria, NY",Egyptian Seafood,casual,$$,NYT 100 Best 2025,Point to a fish pick a method,40.780720,-73.896465,,,
Aska,"47 South 5th Street, Brooklyn, NY",Scandinavian Tasting,formal,$$$$,NYT 100 Best 2025,New Nordic done right,40.711250,-73.965830,,,
Atoboy,"43 East 28th Street, New York, NY",Korean,formal,$$$$,NYT 100 Best 2025,Crispiest fried chicken in the city,40.743697,-73.984515,,,
Barbuto,"113 Horatio Street, New York, NY",New American Italian,casual,$$$,NYT 100 Best 2025,Unimprovable roast chicken,40.738860,-74.009399,,,
Barney Greengrass,"541 Amsterdam Avenue, New York, NY",Deli Appetizing Breakfast,casual,$$,NYT 100 Best 2025,Smoked fish since 1908,40.787965,-73.974554,,,
Birria-Landia,"77-99 Roosevelt Avenue, Jackson Heights, NY",Mexican,fast,$,NYT 100 Best 2025,Food truck - viral birria tacos,40.747231,-73.888552,,,
Borgo,"124 East 27th Street, New York, NY",Italian,casual,$$$,NYT 100 Best 2025,New - Andrew Tarlow's Manhattan debut,40.742087,-73.983583,,,
Bridges,"9 Chatham Square, New York, NY",New American French,casual,$$$,NYT 100 Best 2025,New - Art-world clubhouse in Chinatown,40.714048,-73.998086,,,
Bungalow,"24 First Avenue, New York, NY",Indian,casual,$$$,NYT 100 Best 2025,New - Vikas Khanna's playful regional Indian,40.723180,-73.987320,,,
Cafe Kestrel,"293 Van Brunt Street, Brooklyn, NY",European New American,casual,$$$,NYT 100 Best 2025,New - Red Hook jewel box,40.678706,-74.011047,,,
Cafe Mado,"791 Washington Avenue, Brooklyn, NY",New American French,casual,$$$,NYT 100 Best 2025,New - All-day cafe with refined technique,40.673159,-73.962645,,,
Carnitas Ramirez,"210 East 3rd Street, New York, NY",Mexican,fast,$,NYT 100 Best 2025,Expert carnitas - all cuts of pig,40.722478,-73.982765,,,
Casa Mono and Bar Jamón,"52 Irving Place, New York, NY",Spanish,casual,$$,NYT 100 Best 2025,Bold Spanish flavors for two decades,40.735950,-73.988480,,,
Cervo's,"43 Canal Street, New York, NY",Portuguese Spanish,casual,$$,NYT 100 Best 2025,New - Lower Manhattan cool with great seafood,40.714896,-73.991323,,,
Chambers,"94 Chambers Street, New York, NY",American,casual,$$$,NYT 100 Best 2025,New - 89-page wine list destination,40.714543,-74.007579,,,
Chez Ma Tante,"90 Calyer Street, Brooklyn, NY",American European,casual,$$,NYT 100 Best 2025,New - Famous pancakes,40.726880,-73.957593,,,
Cho Dang Gol,"55 West 35th Street, New York, NY",Korean,casual,$$,NYT 100 Best 2025,Homemade tofu for 30 years,40.750171,-73.986344,,,
Chongqing Lao Zao,"37-04 Prince Street, Flushing, NY",Chinese,casual,$$,NYT 100 Best 2025,Hot pot with amazing variety,40.760646,-73.833045,,,
Çka Ka Qëllu,"2321 Hughes Avenue, Bronx, NY",Albanian,casual,$$,NYT 100 Best 2025,Albanian and Kosovo cuisine,40.853932,-73.888217,,,
Claud,"90 East 10th Street, New York, NY",New American French,casual,$$$,NYT 100 Best 2025,New - Sophisticated basement bistro,40.730806,-73.989727,,,
Cocina Consuelo,"130 Hamilton Place, New York, NY",Mexican,casual,$$,NYT 100 Best 2025,New - Puebla and Oaxaca inspired,40.824042,-73.949230,,,
Court Street Grocers,"485 Court Street, Brooklyn, NY",Sandwiches,fast,$,NYT 100 Best 2025,New - Fat inhalable sandwiches,40.676209,-73.998612,,,
Crown Shy,"70 Pine Street, New York, NY",American,formal,$$$$,NYT 100 Best 2025,Beautiful roast chicken in office lobby,40.706473,-74.007741,,,
Daniel,"60 East 65th Street, New York, NY",French Tasting,formal,$$$$,NYT 100 Best 2025,New - Classic French tableside service,40.766778,-73.967571,,,
Dera,"37-56 74th Street, Jackson Heights, NY",Pakistani Indian Bangladeshi Nepali,casual,$,NYT 100 Best 2025,Traditional Pakistani halal food,40.747850,-73.891530,,,
Dhamaka,"119 Delancey Street, New York, NY",Indian,casual,$$$,NYT 100 Best 2025,Regional Indian - otherworldly paneer,40.718235,-73.988078,,,
Don Peppe,"135-58 Lefferts Boulevard, South Ozone Park, NY",Italian American,casual,$$,NYT 100 Best 2025,Cash only - giant platters,40.670300,-73.820952,,,
Ewe's Delicious Treats,"453 Pennsylvania Avenue, Brooklyn, NY",Nigerian West African,casual,$,NYT 100 Best 2025,Must order jollof rice,40.666163,-73.894295,,,
Eyval,"25 Bogart Street, Brooklyn, NY",Iranian,casual,$$,NYT 100 Best 2025,Persian food with energy,40.704107,-73.933260,,,
The Four Horsemen,"295 Grand Street, Brooklyn, NY",New American,casual,$$,NYT 100 Best 2025,New - Natural wine pioneer,40.713159,-73.957244,,,
Four Twenty Five,"425 Park Avenue, New York, NY",New American,formal,$$$$,NYT 100 Best 2025,Jean-Georges + Jonathan Benno collab,40.760472,-73.971016,,,
Frenchette,"241 West Broadway, New York, NY",French,casual,$$$,NYT 100 Best 2025,Ageless French bistro,40.719632,-74.005781,,,
Gage & Tollner,"372 Fulton Street, Brooklyn, NY",Seafood American,casual,$$$,NYT 100 Best 2025,New - 1892 landmark restored,40.691467,-73.987767,,,
Golden Diner,"123 Madison Street, New York, NY",Asian-American Diner,casual,$,NYT 100 Best 2025,Honey butter pancakes gone viral,40.712423,-73.994117,,,
Gramercy Tavern,"42 East 20th Street, New York, NY",New American,formal,$$$$,NYT 100 Best 2025,Danny Meyer's reliable 30-year-old,40.738389,-73.988414,,,
